dataset,model,k,accuracy,fmeasure,precision,recall,roc
LRS
vcd,lr,4,0.8193548387096774,0.819157731956744,0.8474475307092554,0.8193548387096774,0.9154761904761906
parkinsons,knn,3,0.8974358974358975,0.8881105227617603,0.9214611904270348,0.8974358974358975,0.9621072796934864
cirrhosis,rf,15,0.509495123350545,0.4832281624153177,0.5066536417272478,0.509495123350545,0.6925545879513307
diabetes,rf,7,0.7773788303200069,0.7712228469264609,0.7745745629268093,0.7773788303200069,0.8322536687631027
heart_disease,knn,11,0.8251412429378533,0.8200483930082878,0.8424936044392572,0.8251412429378533,0.8634300595238095
sonar,rf,10,0.7883855981416957,0.7831143595844537,0.803207801543446,0.7883855981416957,0.8309969835656336
stroke,lr,6,0.9574255041304128,0.936994877318823,0.925201200882778,0.9574255041304128,0.8475989077519955
shd,lr,6,0.8481481481481483,0.8476096431520906,0.8486485353771469,0.8481481481481483,0.895277777777778
chd,knn,11,0.8184745762711862,0.813491145369872,0.8338473103574013,0.8184745762711862,0.8795882936507937
abalone,rf,6,0.8173328940205714,0.8060641519354818,0.8044657740271675,0.8173328940205714,0.8740494044709681
wine,ab,2,0.8844774256566096,0.8666285850204949,0.8699429570952587,0.8844774256566096,0.8582429237748386
breast,lr,27,0.9824406148113648,0.9823658423058704,0.982818074536672,0.9824406148113648,0.995646553741051


TREE
vcd,lr,5,0.8193548387096774,0.819157731956744,0.8474475307092554,0.8193548387096774,0.9152380952380952
parkinsons,knn,3,0.8717948717948717,0.8703563150043296,0.8831822296816935,0.8717948717948717,0.8749553001277139
cirrhosis,rf,14,0.5117613310384395,0.4767206541650678,0.5034286190267266,0.5117613310384395,0.7096465207531967
diabetes,ab,3,0.7721670486376369,0.7646038405269192,0.7690525771794532,0.7721670486376369,0.8358382250174703
heart_disease,lr,5,0.8118079096045197,0.7952628337400494,0.8488491815214199,0.8118079096045197,0.906886574074074
sonar,lr,4,0.7743321718931474,0.7675314257133282,0.8060063014454559,0.7743321718931474,0.7960349490326607
stroke,lr,9,0.9576291701181926,0.9374811737187128,0.9296651759756086,0.9576291701181926,0.8442066375071045
shd,gb,3,0.8481481481481483,0.846910334755371,0.8500687664825597,0.8481481481481483,0.8341666666666667
chd,lr,5,0.8185875706214688,0.7995366085527342,0.8568346585435705,0.8185875706214688,0.9012483465608464
