dataset,model,k,accuracy,fmeasure,precision,recall,roc
LRS
vcd,lr,4,0.8193548387096774,0.819157731956744,0.8474475307092554,0.8193548387096774,0.9154761904761906
parkinsons,knn,3,0.8974358974358975,0.8881105227617603,0.9214611904270348,0.8974358974358975,0.9621072796934864
cirrhosis,rf,14,0.5048766494549627,0.4740888281917989,0.4735832360579247,0.5048766494549627,0.7009254210161301
diabetes,lr,7,0.7747899159663865,0.7677731163739274,0.7707216177985277,0.7747899159663865,0.8324675052410901
heart_disease,knn,11,0.8251412429378533,0.8200483930082878,0.8424936044392572,0.8251412429378533,0.8634300595238095
sonar,lr,10,0.7831591173054588,0.7792948372484257,0.7947081053397591,0.7831591173054588,0.8411348034116912
stroke,lr,6,0.9574255041304128,0.936994877318823,0.925201200882778,0.9574255041304128,0.8475989077519955
shd,lr,6,0.8481481481481483,0.8476096431520906,0.8486485353771469,0.8481481481481483,0.895277777777778
chd,knn,11,0.8184745762711862,0.813491145369872,0.8338473103574013,0.8184745762711862,0.8795882936507937
abalone,rf,6,0.8158957682720682,0.8049615214934178,0.7992198820603116,0.8158957682720682,0.8734741484508382
wine,ab,2,0.8844774256566096,0.8666285850204949,0.8699429570952587,0.8844774256566096,0.8582429237748386
breast,lr,27,0.9824406148113648,0.9823658423058704,0.982818074536672,0.9824406148113648,0.995646553741051


TREE
vcd,lr,4,0.8258064516129032,0.825633597161486,0.8553988755086903,0.8258064516129032,0.9145238095238096
parkinsons,knn,2,0.8871794871794872,0.8791958041958041,0.9223746823746822,0.8871794871794872,0.9563473818646232
cirrhosis,rf,16,0.5095238095238095,0.4742813738774684,0.4936943459624061,0.5095238095238095,0.6995658179982243
diabetes,ab,3,0.7721670486376369,0.7646038405269192,0.7690525771794532,0.7721670486376369,0.8358382250174703
heart_disease,lr,5,0.8185875706214688,0.7995366085527342,0.8568346585435705,0.8185875706214688,0.9021494708994708
sonar,rf,11,0.7694541231126596,0.7634364340905225,0.7972071739166676,0.7694541231126596,0.8170241314749322
stroke,lr,9,0.9576291701181926,0.9374811737187128,0.9296651759756086,0.9576291701181926,0.8442066375071045
shd,lr,4,0.8518518518518519,0.8514963633191585,0.8528543439319302,0.8518518518518519,0.8838888888888888
chd,lr,5,0.8118079096045197,0.7952628337400494,0.8488491815214199,0.8118079096045197,0.9075644841269842
