dataset,model,k,accuracy,fmeasure,precision,recall,roc
LRS
vcd,lr,4,0.8193548387096774,0.819157731956744,0.8474475307092554,0.8193548387096774,0.9154761904761906
parkinsons,knn,3,0.8974358974358975,0.8881105227617603,0.9214611904270348,0.8974358974358975,0.9621072796934864
cirrhosis,rf,16,0.5119908204245552,0.4843661812301679,0.4971389187166302,0.5119908204245552,0.7142684587329081
diabetes,rf,7,0.7799932094049741,0.7729431361879622,0.7770187820275856,0.7799932094049741,0.8324643605870021
heart_disease,knn,11,0.8251412429378533,0.8200483930082878,0.8424936044392572,0.8251412429378533,0.8634300595238095
sonar,lr,10,0.7831591173054588,0.7792948372484257,0.7947081053397591,0.7831591173054588,0.8411348034116912
stroke,lr,6,0.9574255041304128,0.936994877318823,0.925201200882778,0.9574255041304128,0.8475989077519955
shd,lr,6,0.8481481481481483,0.8476096431520906,0.8486485353771469,0.8481481481481483,0.895277777777778
chd,knn,11,0.8184745762711862,0.813491145369872,0.8338473103574013,0.8184745762711862,0.8795882936507937
abalone,rf,6,0.8178107899034467,0.8066197737513633,0.8009124431895149,0.8178107899034467,0.8722165548072468
wine,ab,2,0.8844774256566096,0.8666285850204949,0.8699429570952587,0.8844774256566096,0.8582429237748386
breast,lr,27,0.9824406148113648,0.9823658423058704,0.982818074536672,0.9824406148113648,0.995646553741051


TREE
vcd,knn,5,0.8064516129032258,0.8066868888419542,0.8330658715378112,0.8064516129032258,0.8765476190476191
parkinsons,knn,3,0.8717948717948717,0.8703563150043296,0.8831822296816935,0.8717948717948717,0.8749553001277139
cirrhosis,rf,15,0.5357716580608146,0.5077426951091347,0.5431792287410848,0.5357716580608146,0.7141569695421334
diabetes,ab,3,0.7721670486376369,0.7646038405269192,0.7690525771794532,0.7721670486376369,0.8358382250174703
heart_disease,lr,6,0.8151977401129944,0.7960232549721205,0.8529105366884142,0.8151977401129944,0.8986193783068783
sonar,gb,44,0.7555168408826946,0.7519919922780206,0.7743756901510845,0.7555168408826946,0.8262648221343873
stroke,lr,9,0.9576291701181926,0.9374811737187128,0.9296651759756086,0.9576291701181926,0.8442066375071045
shd,rf,3,0.8555555555555555,0.8548859748581734,0.857037260951054,0.8555555555555555,0.8561111111111112
chd,lr,5,0.8118079096045197,0.7952628337400494,0.8488491815214199,0.8118079096045197,0.9075644841269842
