dataset,model,k,accuracy,fmeasure,precision,recall,roc
LRS
vcd,lr,4,0.8193548387096774,0.819157731956744,0.8474475307092554,0.8193548387096774,0.9154761904761906
parkinsons,knn,3,0.8974358974358975,0.8881105227617603,0.9214611904270348,0.8974358974358975,0.9621072796934864
cirrhosis,rf,16,0.5095524956970741,0.4849467475476547,0.5307958425294984,0.5095524956970741,0.7061839749550093
diabetes,lr,7,0.7747899159663865,0.7677731163739274,0.7707216177985277,0.7747899159663865,0.8324675052410901
heart_disease,knn,11,0.8251412429378533,0.8200483930082878,0.8424936044392572,0.8251412429378533,0.8634300595238095
sonar,lr,10,0.7831591173054588,0.7792948372484257,0.7947081053397591,0.7831591173054588,0.8411348034116912
stroke,lr,6,0.9574255041304128,0.936994877318823,0.925201200882778,0.9574255041304128,0.8475989077519955
shd,lr,6,0.8481481481481483,0.8476096431520906,0.8486485353771469,0.8481481481481483,0.895277777777778
chd,knn,11,0.8184745762711862,0.813491145369872,0.8338473103574013,0.8184745762711862,0.8795882936507937
abalone,rf,6,0.8197281036014097,0.8081825087573653,0.8017281756173231,0.8197281036014097,0.8728447163825234
wine,ab,2,0.8844774256566096,0.8666285850204949,0.8699429570952587,0.8844774256566096,0.8582429237748386
breast,lr,27,0.9824406148113648,0.9823658423058704,0.982818074536672,0.9824406148113648,0.995646553741051


TREE
vcd,lr,4,0.8258064516129032,0.825633597161486,0.8553988755086903,0.8258064516129032,0.9145238095238096
parkinsons,knn,2,0.8871794871794872,0.8822709787863674,0.9144289044289045,0.8871794871794872,0.9692209450830142
cirrhosis,rf,13,0.5119621342512909,0.4774509972397226,0.5252018257318858,0.5119621342512909,0.7061748417051539
diabetes,ab,3,0.7721670486376369,0.7646038405269192,0.7690525771794532,0.7721670486376369,0.8358382250174703
heart_disease,lr,6,0.8151977401129944,0.7960232549721205,0.8529105366884142,0.8151977401129944,0.8986193783068783
sonar,ab,7,0.759814169570267,0.7513703212892026,0.7914755886094275,0.759814169570267,0.7917167672144789
stroke,lr,9,0.9576291701181926,0.9374811737187128,0.9296651759756086,0.9576291701181926,0.8442066375071045
shd,gb,3,0.8481481481481483,0.846910334755371,0.8500687664825597,0.8481481481481483,0.8341666666666667
chd,lr,5,0.8085310734463278,0.7894038005437116,0.846772043324975,0.8085310734463278,0.9084242724867724
