dataset,model,k,accuracy,fmeasure,precision,recall,roc
LRS
vcd,lr,4,0.8193548387096774,0.819157731956744,0.8474475307092554,0.8193548387096774,0.9154761904761906
parkinsons,knn,3,0.8974358974358975,0.8881105227617603,0.9214611904270348,0.8974358974358975,0.9621072796934864
cirrhosis,rf,14,0.5048192771084338,0.4676587641224458,0.4682596835208211,0.5048192771084338,0.7139394975057607
diabetes,lr,7,0.7747899159663865,0.7677731163739274,0.7707216177985277,0.7747899159663865,0.8324675052410901
heart_disease,knn,11,0.8251412429378533,0.8200483930082878,0.8424936044392572,0.8251412429378533,0.8634300595238095
sonar,lr,10,0.7831591173054588,0.7792948372484257,0.7947081053397591,0.7831591173054588,0.8411348034116912
stroke,lr,6,0.9574255041304128,0.936994877318823,0.925201200882778,0.9574255041304128,0.8475989077519955
shd,lr,6,0.8481481481481483,0.8476096431520906,0.8486485353771469,0.8481481481481483,0.895277777777778
chd,knn,11,0.8184745762711862,0.813491145369872,0.8338473103574013,0.8184745762711862,0.8795882936507937
abalone,rf,7,0.8146987364982952,0.8030147285455712,0.7965462698580644,0.8146987364982952,0.8770392297800038
wine,ab,2,0.8844774256566096,0.8666285850204949,0.8699429570952587,0.8844774256566096,0.8582429237748386
breast,lr,27,0.9824406148113648,0.9823658423058704,0.982818074536672,0.9824406148113648,0.995646553741051


TREE
vcd,lr,5,0.8193548387096774,0.819157731956744,0.8474475307092554,0.8193548387096774,0.9152380952380952
parkinsons,knn,2,0.8871794871794872,0.8791958041958041,0.9223746823746822,0.8871794871794872,0.9563473818646232
cirrhosis,rf,13,0.5190763052208835,0.4879105704269961,0.5256352441187229,0.5190763052208835,0.7068310675933637
diabetes,rf,6,0.7839062897886427,0.7798373645343644,0.7811741685174839,0.7839062897886427,0.8293462613556952
heart_disease,lr,5,0.8185875706214688,0.7995366085527342,0.8568346585435705,0.8185875706214688,0.9021494708994708
sonar,rf,4,0.7887340301974447,0.7861425203228947,0.8049566534615895,0.7887340301974447,0.8152033492822968
stroke,lr,9,0.9576291701181926,0.9374811737187128,0.9296651759756086,0.9576291701181926,0.8442066375071045
shd,gb,3,0.8481481481481483,0.846910334755371,0.8500687664825597,0.8481481481481483,0.8341666666666667
chd,lr,6,0.8151977401129944,0.7960232549721205,0.8529105366884142,0.8151977401129944,0.8990988756613756
